catalognumber,Morph,subject_Filename,institutioncode,eventdate,year,month,day,stateprovince,county,locality,decimallatitude,decimallongitude,Site,Clade,genus,specificepithet,Filename,SVL_mm,season,MAT,MAP
379984,S,USNM_9_30_19_morph_R0010135_07.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,31.862,fall,11,1293
379985,S,USNM_9_30_19_morph_R0010135_08.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,38.288,fall,11,1293
379986,S,USNM_9_30_19_morph_R0010135_11.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,29.494,fall,11,1293
379987,S,USNM_9_30_19_morph_R0010129_04.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,26.079,fall,11,1293
379988,S,USNM_9_30_19_morph_R0010133_01.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010134,38.89,fall,11,1293
379989,S,USNM_9_30_19_morph_R0010133_06_2.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010134,43.238,fall,11,1293
379990,S,USNM_9_30_19_morph_R0010131_06.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010132,28.433,fall,11,1293
379991,S,USNM_9_30_19_morph_R0010129_06.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,43.057,fall,11,1293
379992,S,USNM_9_30_19_morph_R0010129_09.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,28.481,fall,11,1293
379993,U,USNM_9_30_19_morph_R0010135_09.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,24.493,fall,11,1293
379994,S,USNM_9_30_19_morph_R0010129_03.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,41.315,fall,11,1293
379995,U,USNM_9_30_19_morph_R0010135_04.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,32.153,fall,11,1293
379996,S,USNM_9_30_19_morph_R0010133_06.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010134,47.367,fall,11,1293
379997,S,USNM_9_30_19_morph_R0010129_08.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,29.601,fall,11,1293
379998,U,USNM_9_30_19_morph_R0010135_05.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,29.271,fall,11,1293
379999,S,USNM_9_30_19_morph_R0010133_04.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010134,30.403,fall,11,1293
380000,S,USNM_9_30_19_morph_R0010135_10.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,31.358,fall,11,1293
380001,S,USNM_9_30_19_morph_R0010133_07.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010134,NA,fall,11,1293
380002,U,USNM_9_30_19_morph_R0010133_05.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010134,NA,fall,11,1293
380003,S,USNM_9_30_19_morph_R0010133_03.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010134,38.663,fall,11,1293
380004,S,USNM_9_30_19_morph_R0010129_05.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,39.362,fall,11,1293
380005,S,USNM_9_30_19_morph_R0010135_03.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010136,44.853,fall,11,1293
380006,S,USNM_9_30_19_morph_R0010131_09.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010132,43.563,fall,11,1293
380007,S,USNM_9_30_19_morph_R0010131_08.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010132,38.821,fall,11,1293
380008,S,USNM_9_30_19_morph_R0010133_08.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010134,NA,fall,11,1293
380009,U,USNM_9_30_19_morph_R0010129_01.jpg,USNM,9/23/56,1956,9,23,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010130,NA,fall,11,1293
380046,S,USNM_10_01_19_morph_R0010170_01_5.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,38.504,fall,11,1293
380047,U,USNM_10_01_19_morph_R0010170_01_4.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,37.958,fall,11,1293
380048,S,USNM_10_01_19_morph_R0010170_02.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,39.181,fall,11,1293
380049,U,USNM_10_01_19_morph_R0010170_02_4.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,39.913,fall,11,1293
380050,S,USNM_10_01_19_morph_R0010170_04.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,37.517,fall,11,1293
380051,U,USNM_10_01_19_morph_R0010170_08.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,44.307,fall,11,1293
380052,S,NA,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,37.616,fall,11,1293
380053,S,USNM_10_01_19_morph_R0010170_03.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,43.546,fall,11,1293
380054,S,USNM_10_01_19_morph_R0010170_05.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,45.863,fall,11,1293
380055,S,NA,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,41.318,fall,11,1293
380056,U,USNM_10_01_19_morph_R0010170_01.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,38.616,fall,11,1293
380057,S,USNM_10_01_19_morph_R0010170_07.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,45.014,fall,11,1293
380058,S,USNM_10_01_19_morph_R0010170_02_2.jpg,USNM,10/13/56,1956,10,13,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010172,42.738,fall,11,1293
380087,S,USNM_10_01_19_morph_R0010173_11_2.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,NA,fall,11,1293
380088,S,USNM_10_01_19_morph_R0010179_01_5.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,NA,fall,11,1293
380089,S,USNM_10_01_19_morph_R0010173_01.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,29.955,fall,11,1293
380090,S,USNM_10_01_19_morph_R0010173_12.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,43.794,fall,11,1293
380091,U,USNM_10_01_19_morph_R0010173_05.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,NA,fall,11,1293
380092,S,USNM_10_01_19_morph_R0010175_02.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,NA,fall,11,1293
380093,S,USNM_10_01_19_morph_R0010179_01_2.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,NA,fall,11,1293
380096,S,USNM_10_01_19_morph_R0010179_01.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,37.676,fall,11,1293
380097,S,USNM_10_01_19_morph_R0010175_10.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,30.392,fall,11,1293
380098,S,USNM_10_01_19_morph_R0010175_08.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,28.445,fall,11,1293
380099,U,USNM_10_01_19_morph_R0010175_11.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,31.771,fall,11,1293
380100,S,USNM_10_01_19_morph_R0010175_04.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,31.147,fall,11,1293
380101,S,USNM_10_01_19_morph_R0010175_05.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,36.85,fall,11,1293
380102,S,NA,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,41.217,fall,11,1293
380103,S,USNM_10_01_19_morph_R0010175_07.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,37.031,fall,11,1293
380104,S,USNM_10_01_19_morph_R0010179_08.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,37.282,fall,11,1293
380105,S,USNM_10_01_19_morph_R0010175_09.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,40.798,fall,11,1293
380106,S,USNM_10_01_19_morph_R0010173_06.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,44.338,fall,11,1293
380107,U,USNM_10_01_19_morph_R0010179_09.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,39.272,fall,11,1293
380109,U,USNM_10_01_19_morph_R0010179_07.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,30.951,fall,11,1293
380110,U,USNM_10_01_19_morph_R0010179_01_3.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,35.962,fall,11,1293
380111,S,USNM_10_01_19_morph_R0010173_02.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,39.775,fall,11,1293
380112,S,USNM_10_01_19_morph_R0010173_10.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,36.649,fall,11,1293
380113,U,USNM_10_01_19_morph_R0010179_02.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,37.561,fall,11,1293
380114,S,USNM_10_01_19_morph_R0010175_01.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,39.581,fall,11,1293
380115,U,USNM_10_01_19_morph_R0010173_11.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,38.799,fall,11,1293
380116,S,USNM_10_01_19_morph_R0010179_05.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,38.344,fall,11,1293
380117,S,USNM_10_01_19_morph_R0010173_04.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,38.664,fall,11,1293
380118,S,USNM_10_01_19_morph_R0010173_08.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010174,44.697,fall,11,1293
380119,S,USNM_10_01_19_morph_R0010175_03.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,40.632,fall,11,1293
380120,S,USNM_10_01_19_morph_R0010175_06.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010177,40.324,fall,11,1293
380121,U,NA,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,40.939,fall,11,1293
380122,S,USNM_10_01_19_morph_R0010179_06.jpg,USNM,10/28/56,1956,10,28,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010180,41.741,fall,11,1293
380134,S,USNM_10_01_19_morph_R0010183_02.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,39.061,spring,11.6,1053
380135,S,USNM_10_01_19_morph_R0010183_08.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,40.452,spring,11.6,1053
380136,S,USNM_10_01_19_morph_R0010183_09.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,34.69,spring,11.6,1053
380138,S,USNM_10_01_19_morph_R0010183_05.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,32.701,spring,11.6,1053
380139,S,USNM_10_01_19_morph_R0010183_06.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,39.938,spring,11.6,1053
380141,S,USNM_10_01_19_morph_R0010183_04.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,42.844,spring,11.6,1053
380142,U,USNM_10_01_19_morph_R0010183_03.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,37.176,spring,11.6,1053
380143,S,USNM_10_01_19_morph_R0010183_10.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,31.527,spring,11.6,1053
380144,S,USNM_10_01_19_morph_R0010183_09_2.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,32.103,spring,11.6,1053
380145,S,USNM_10_01_19_morph_R0010183_07.jpg,USNM,3/16/57,1957,3,16,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010186,37.395,spring,11.6,1053
380149,S,USNM_10_01_19_morph_R0010189_08.jpg,USNM,6/7/57,1957,6,7,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010190,NA,summer,11.6,1053
380150,S,USNM_10_01_19_morph_R0010189_05.jpg,USNM,6/7/57,1957,6,7,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010190,22.221,summer,11.6,1053
380151,S,USNM_10_01_19_morph_R0010189_02.jpg,USNM,6/7/57,1957,6,7,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010190,22.422,summer,11.6,1053
380152,U,USNM_10_01_19_morph_R0010189_03.jpg,USNM,6/7/57,1957,6,7,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010190,35.525,summer,11.6,1053
380153,S,USNM_10_01_19_morph_R0010189_07.jpg,USNM,6/7/57,1957,6,7,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010190,41.691,summer,11.6,1053
380154,S,USNM_10_01_19_morph_R0010189_04.jpg,USNM,6/7/57,1957,6,7,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010190,32.218,summer,11.6,1053
380155,S,USNM_10_01_19_morph_R0010189_06.jpg,USNM,6/7/57,1957,6,7,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010190,38.449,summer,11.6,1053
380156,U,USNM_10_01_19_morph_R0010189_09.jpg,USNM,6/7/57,1957,6,7,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010190,30.21,summer,11.6,1053
380185,U,USNM_10_01_19_morph_R0010191_07.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,36.542,summer,11.6,1053
380186,U,USNM_10_01_19_morph_R0010191_11.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,36.995,summer,11.6,1053
380187,S,USNM_10_01_19_morph_R0010191_01.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,38.844,summer,11.6,1053
380188,S,USNM_10_01_19_morph_R0010191_12.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,35.476,summer,11.6,1053
380189,S,USNM_10_01_19_morph_R0010191_10.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,27,summer,11.6,1053
380190,S,USNM_10_01_19_morph_R0010191_03.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,43.072,summer,11.6,1053
380191,S,USNM_10_01_19_morph_R0010191_09.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,36.453,summer,11.6,1053
380192,S,USNM_10_01_19_morph_R0010191_08_2.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,NA,summer,11.6,1053
380193,U,USNM_10_01_19_morph_R0010191_05.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,22.249,summer,11.6,1053
380194,S,USNM_10_01_19_morph_R0010191_02.jpg,USNM,7/1/57,1957,7,1,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010192,37.157,summer,11.6,1053
380207,S,USNM_10_01_19_morph_R0010194_03.jpg,USNM,7/30/57,1957,7,30,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010195,35.97,summer,11.6,1053
380208,S,USNM_10_01_19_morph_R0010194_04.jpg,USNM,7/30/57,1957,7,30,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010195,27.906,summer,11.6,1053
380209,S,USNM_10_01_19_morph_R0010194_02.jpg,USNM,7/30/57,1957,7,30,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010195,33.777,summer,11.6,1053
380214,S,USNM_10_01_19_morph_R0010199_07.jpg,USNM,8/20/57,1957,8,20,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010200,NA,summer,11.6,1053
380215,S,USNM_10_01_19_morph_R0010203_05.jpg,USNM,8/20/57,1957,8,20,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010204,40.495,summer,11.6,1053
380216,S,USNM_10_01_19_morph_R0010201_12.jpg,USNM,8/20/57,1957,8,20,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010202,NA,summer,11.6,1053
380217,S,USNM_10_01_19_morph_R0010203_03.jpg,USNM,8/20/57,1957,8,20,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010204,NA,summer,11.6,1053
380218,S,USNM_10_01_19_morph_R0010197_06.jpg,USNM,8/20/57,1957,8,20,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010198,NA,summer,11.6,1053
380219,S,USNM_10_01_19_morph_R0010199_04_2.jpg,USNM,8/20/57,1957,8,20,Maryland,Frederick,Cunningham Falls State Park,39.6306,-77.4714,MD_1,Northern,Plethodon,cinereus,R0010200,NA,summer,11.6,1053
